,0
kccq_summ_bl,-0.1915242388238647
age,0.1731988760094209
weight,-0.14904164995770208
chronic_lung_3.0,0.13773737215370824
meds_p2y12_1.0,-0.11629674022743909
prior_pad_1.0,0.11373071473017743
haemoglobin_adj,0.11285375976196663
prior_af_1.0,0.10751725184269587
prior_carotid_sten_5.0,0.10548691268258692
albumin_adj,0.0938227399003772
chronic_lung_4.0,0.08755638120516761
meds_statins_1.0,-0.08751522460020929
lvef_value,-0.08414011924649382
creatinine,0.0805705201853783
prior_ccf_1.0,0.0793125494037277
anaesthesia_4.0,-0.07760605686119584
meds_diuretics_1.0,0.0734793373573552
high_cfa_burif_1.0,-0.06579214516217986
chronic_lung_2.0,0.06440871028792705
meds_ACE_ARB_1.0,-0.061078919361359965
av_mean_grad_tte,-0.06077781824900597
av_area_tte,-0.06026834238335284
av_disease_etiology_2.0,-0.058909594912071095
meds_doac_1.0,-0.05823974243777345
aortic_insuff_3.0,-0.05586333428138051
ecg_rhythm_Fibrillation_1.0,0.05217653334712986
aortic_insuff_4.0,-0.051110669706598284
artery_calc_4.0,0.05106733706413347
meds_beta_blocker_1.0,-0.04952770227002474
prox_lad_1.0,0.04553096201762145
ckd_1.0,0.045500771545837
platelet_count_adj,0.042537863561858145
diseased_vessels_number_3.0,-0.041023515460259265
valve_calc_1.0,0.03981752064539175
aortic_insuff_2.0,-0.039698113921693166
mitral_regurg_1.0,0.03933717129924706
prior_acute_mi_1.0,0.03822973043303251
hypertension_1.0,-0.03526493831325485
diseased_vessels_number_4.0,0.03488706805512829
valve_morph_1.0,0.034728015810504276
nyha_status_3.0,0.03228748378005899
prior_valve_replace_1.0,0.02871137861669988
meds_aspirin_1.0,-0.027545408249043432
ecg_rhythm_sinus_1.0,-0.02482717306592076
gender_2.0,0.022672671891499144
prior_cardio_surg_1.0,-0.02261974233087107
dialysis_1.0,0.020914620983236647
ecg_rhythm_paced_1.0,-0.01770214162679597
ecg_conduct_LBBB_1.0,-0.013339865673972164
ecg_conduct_1DAVBlock_1.0,0.01215785999478585
cad_1.0,-0.012036508730139681
ecg_conduct_none_1.0,-0.007896678074316672
prior_carotid_sten_3.0,-0.007539963338651767
prior_generator_1.0,0.00699906935173452
prior_cabg_1.0,-0.005960832715128733
ecg_conduct_RBBB_1.0,-0.005276573290927991
prior_bav_1.0,0.0037617841360660835
artery_calc_2.0,-0.002667140364649687
prior_carotid_sten_2.0,0.002549394669113561
initial_bav_1.0,-0.0008894172919822246
iliofem_tort_3.0,-0.0003941665272096515
prior_stroke_1.0,8.833088902919622e-05
av_peak_vel,0.0
prior_pci_1.0,0.0
creatinine_adj,0.0
diseased_vessels_number_2.0,0.0
prior_tia_1.0,0.0
prior_carotid_sten_4.0,0.0
procedure_indic_1.0,0.0
diabetes_1.0,0.0
iliofem_tort_4.0,0.0
iliofem_tort_2.0,0.0
artery_calc_3.0,0.0
annualar_calc_ctaort_1.0,0.0
anaesthesia_2.0,0.0
