,0
kccq_summ_bl,-0.21453530245668995
anaesthesia_4.0,-0.2116128877177967
age,0.19327949105475078
weight,-0.17776763360602973
chronic_lung_3.0,0.15447870197198738
meds_p2y12_1.0,-0.13939705243748116
anaesthesia_2.0,-0.12357290018596154
prior_carotid_sten_5.0,0.12295576344386021
prior_pad_1.0,0.12159423991033988
prior_af_1.0,0.12140690459838398
creatinine,0.11859223830124627
haemoglobin_adj,0.1160007108065129
av_disease_etiology_2.0,-0.10628698665026565
aortic_insuff_3.0,-0.10505455700126905
albumin_adj,0.09920709386701551
aortic_insuff_4.0,-0.09766926221304767
chronic_lung_4.0,0.09744984681084759
meds_statins_1.0,-0.09508645516803167
prior_valve_replace_1.0,0.09297251777450316
lvef_value,-0.09048494035027628
aortic_insuff_2.0,-0.08424722093313225
meds_diuretics_1.0,0.08257402031182208
high_cfa_burif_1.0,-0.0813786955769807
chronic_lung_2.0,0.07964647243991517
meds_doac_1.0,-0.07832056515479377
prior_ccf_1.0,0.07789207129466823
av_mean_grad_tte,-0.07100427881622104
av_area_tte,-0.07028320954070202
meds_ACE_ARB_1.0,-0.0644595755387218
meds_beta_blocker_1.0,-0.06352886480865043
prox_lad_1.0,0.05955586854940357
diseased_vessels_number_3.0,-0.05315813557490036
ecg_rhythm_Fibrillation_1.0,0.053083273818153
artery_calc_4.0,0.052674840792805565
valve_calc_1.0,0.05103611389300753
mitral_regurg_1.0,0.04969792795399558
prior_cardio_surg_1.0,-0.04907573864339524
prior_acute_mi_1.0,0.04883210137900684
platelet_count_adj,0.04621502650430074
valve_morph_1.0,0.045996700324628104
ckd_1.0,0.04048987518288062
gender_2.0,0.040289567856523135
hypertension_1.0,-0.03998120479848239
ecg_rhythm_paced_1.0,-0.03865730445766847
diseased_vessels_number_4.0,0.03649472874520362
creatinine_adj,-0.033544279930325896
meds_aspirin_1.0,-0.03329567851486213
ecg_conduct_LBBB_1.0,-0.0294171527438983
nyha_status_3.0,0.027271900530724615
ecg_conduct_none_1.0,-0.02340992211018956
cad_1.0,-0.022412737648906274
dialysis_1.0,0.022264088140564506
prior_generator_1.0,0.020873678235184472
ecg_rhythm_sinus_1.0,-0.01980636646377059
ecg_conduct_RBBB_1.0,-0.01955191793628335
iliofem_tort_3.0,-0.014050679405547047
prior_carotid_sten_3.0,-0.012628710156488298
ecg_conduct_1DAVBlock_1.0,0.01165887476005247
prior_carotid_sten_2.0,0.008608088921660652
iliofem_tort_2.0,-0.0058833474401153675
iliofem_tort_4.0,-0.004663012770395755
artery_calc_2.0,-0.0023438085748539116
prior_stroke_1.0,0.0013126557063375404
prior_tia_1.0,-0.0010946732442465325
initial_bav_1.0,-0.0004885488700038464
artery_calc_3.0,0.0
diabetes_1.0,0.0
procedure_indic_1.0,0.0
diseased_vessels_number_2.0,0.0
av_peak_vel,0.0
annualar_calc_ctaort_1.0,0.0
prior_bav_1.0,0.0
prior_cabg_1.0,0.0
prior_pci_1.0,0.0
prior_carotid_sten_4.0,0.0
