,0
kccq_summ_bl,-0.14924714476571874
age,0.13382402369650617
weight,-0.11461087711911674
chronic_lung_3.0,0.11238655307749888
haemoglobin_adj,0.10603950855458875
prior_pad_1.0,0.09654068133030726
albumin_adj,0.08726270871155659
meds_p2y12_1.0,-0.08621112181192354
prior_af_1.0,0.08545198902084285
prior_carotid_sten_5.0,0.08217199879640417
prior_ccf_1.0,0.07604528414354561
meds_statins_1.0,-0.07287352266851312
chronic_lung_4.0,0.07283374331521852
lvef_value,-0.07251666023604669
meds_diuretics_1.0,0.06894033074406575
creatinine,0.06165216238210544
anaesthesia_4.0,-0.05946878375779353
meds_ACE_ARB_1.0,-0.05690501148778254
av_area_tte,-0.05683052743117746
high_cfa_burif_1.0,-0.05335438405928817
artery_calc_4.0,0.05276525138111202
chronic_lung_2.0,0.05255281084938474
ckd_1.0,0.05150795735891583
av_mean_grad_tte,-0.04948255382419376
ecg_rhythm_Fibrillation_1.0,0.04921001026675054
av_disease_etiology_2.0,-0.04734581302168892
nyha_status_3.0,0.04492065630083865
meds_doac_1.0,-0.04443240532678073
mitral_regurg_1.0,0.04307532335316168
aortic_insuff_3.0,-0.04068672030088388
meds_beta_blocker_1.0,-0.04029360454439446
platelet_count_adj,0.040205503840886406
prox_lad_1.0,0.03966115116707738
ecg_rhythm_sinus_1.0,-0.039585245145800724
prior_acute_mi_1.0,0.0389723383812646
valve_calc_1.0,0.037494409417167
aortic_insuff_4.0,-0.03652118926696163
diseased_vessels_number_4.0,0.0362449096370761
hypertension_1.0,-0.03427981942096759
diseased_vessels_number_3.0,-0.034240066960143666
valve_morph_1.0,0.03271965488855206
meds_aspirin_1.0,-0.032299675892634654
aortic_insuff_2.0,-0.030389292247470816
dialysis_1.0,0.027005263484030644
ecg_rhythm_paced_1.0,-0.026053118971465252
prior_cardio_surg_1.0,-0.022294241188350935
prior_valve_replace_1.0,0.021452534002066384
ecg_conduct_LBBB_1.0,-0.019192333174473216
gender_2.0,0.018781028783507736
ecg_conduct_none_1.0,-0.018539195971106245
prior_generator_1.0,0.018062181669821185
prior_bav_1.0,0.017466459296762313
ecg_conduct_RBBB_1.0,-0.014834329729350436
prior_carotid_sten_3.0,-0.013337947006242138
prior_cabg_1.0,-0.013327887251285473
cad_1.0,-0.012991039057084656
ecg_conduct_1DAVBlock_1.0,0.012951770766398949
artery_calc_2.0,-0.011849400993030352
prior_stroke_1.0,0.00990122527433728
av_peak_vel,-0.00981212775127434
initial_bav_1.0,-0.009483145589070532
prior_carotid_sten_2.0,0.007917256898481165
diabetes_1.0,-0.007893107064198107
prior_pci_1.0,-0.007500963985421219
prior_carotid_sten_4.0,-0.007402693139501769
creatinine_adj,0.006846994736431437
prior_tia_1.0,-0.006817220425514839
anaesthesia_2.0,0.005484190901384601
iliofem_tort_3.0,-0.005129244179394793
artery_calc_3.0,0.0038091406406549093
diseased_vessels_number_2.0,0.003318419531918662
iliofem_tort_4.0,-0.0031239035901969047
iliofem_tort_2.0,-0.002336403185935067
annualar_calc_ctaort_1.0,0.0016597982802267828
procedure_indic_1.0,-0.00040096725663668067
